	votes	nleaves	rank	clade	feature	balance
1	Gammaproteobacteria	7	Rank4	+	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
2	Gammaproteobacteria Incertae Sedis	6	Rank5	+	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
3	Steroidobacterales	1	Rank5	+	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
4	Steroidobacteraceae	1	Rank6	+	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
5	Unknown Family	6	Rank6	+	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
6	Acidibacter	6	Rank7	+	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
7	Steroidobacter	1	Rank7	+	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
8	Gammaproteobacteria	49	Rank4	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
9	Betaproteobacteriales	26	Rank5	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
10	Xanthomonadales	23	Rank5	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
11	Burkholderiaceae	13	Rank6	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
12	Nitrosomonadaceae	12	Rank6	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
13	Rhodanobacteraceae	4	Rank6	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
14	SC-I-84	1	Rank6	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
15	Xanthomonadaceae	19	Rank6	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
16	Acidobacteria bacterium WX25	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
17	Arenimonas	5	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
18	Burkholderia-Caballeronia-Paraburkholderia	3	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
19	Dokdonella	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
20	Duganella	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
21	Ellin6067	8	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
22	IS-44	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
23	Luteibacter	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
24	Lysobacter	10	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
25	Massilia	8	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
26	MND1	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
27	Nitrosospira	2	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
28	Pseudoxanthomonas	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
29	Ralstonia	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
30	Rhodanobacter	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
31	Stenotrophomonas	3	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
32	Tahibacter	1	Rank7	-	b9	Rank4_Gammaproteobacteria/Rank4_Gammaproteobacteria
33	Gammaproteobacteria	3	Rank4	+	b13	Rank8_unclassified Acidibacter/Rank8_unclassified Acidibacter
34	Gammaproteobacteria Incertae Sedis	3	Rank5	+	b13	Rank8_unclassified Acidibacter/Rank8_unclassified Acidibacter
35	Unknown Family	3	Rank6	+	b13	Rank8_unclassified Acidibacter/Rank8_unclassified Acidibacter
36	Acidibacter	3	Rank7	+	b13	Rank8_unclassified Acidibacter/Rank8_unclassified Acidibacter
